date,price,price_direction
2017-05-29,111.19149999999999,down
2017-05-30,110.8395,down
2017-05-31,110.8015,down
2017-06-01,116.97649999999999,up
2017-06-02,111.8315,down
2017-06-03,113.906,up
2017-06-04,110.89,down
2017-06-05,112.72300000000001,up
2017-06-06,109.50049999999999,down
2017-06-07,113.15549999999999,up
2017-06-08,110.8135,down
2017-06-09,109.161,down
2017-06-10,112.65,up
2017-06-11,113.77350000000001,up
2017-06-12,112.30950000000001,down
2017-06-13,110.068,down
2017-06-14,109.44749999999999,down
2017-06-15,110.9965,up
2017-06-16,110.878,down
2017-06-17,110.878,up
2017-06-18,110.975,up
2017-06-19,111.69749999999999,up
2017-06-20,111.34049999999999,down
2017-06-21,111.3295,down
2017-06-22,111.297,down
2017-06-23,111.281,down
2017-06-24,111.281,up
2017-06-25,111.239,down
2017-06-26,111.87100000000001,up
2017-06-27,112.19800000000001,up
2017-06-28,112.3555,up
2017-06-29,111.99549999999999,down
2017-06-30,112.3755,up
2017-07-01,116.97649999999999,up
2017-07-02,112.382,down
2017-07-03,113.924,up
2017-07-04,111.0805,down
2017-07-05,112.6635,up
2017-07-06,109.9185,down
2017-07-07,113.911,up
2017-07-08,110.7645,down
2017-07-09,108.28450000000001,down
2017-07-10,112.65,up
2017-07-11,113.7485,up
2017-07-12,113.205,down
2017-07-13,113.42349999999999,up
2017-07-14,112.5275,down
2017-07-15,112.5275,up
2017-07-16,112.412,down
2017-07-17,112.6035,up
2017-07-18,111.993,down
2017-07-19,111.8845,down
2017-07-20,111.89099999999999,up
2017-07-21,111.13149999999999,down
2017-07-22,111.13149999999999,up
2017-07-23,110.935,down
2017-07-24,111.237,up
2017-07-25,112.011,up
2017-07-26,111.15950000000001,down
2017-07-27,111.094,down
2017-07-28,110.7025,down
2017-07-29,110.7025,up
2017-07-30,110.507,down
2017-07-31,110.35749999999999,down
2017-08-01,117.1515,up
2017-08-02,111.97149999999999,down
2017-08-03,114.415,up
2017-08-04,111.0805,down
2017-08-05,113.2225,up
2017-08-06,109.876,down
2017-08-07,113.911,up
2017-08-08,110.1045,down
2017-08-09,107.8445,down
2017-08-10,112.5445,up
2017-08-11,113.9185,up
2017-08-12,113.47,down
2017-08-13,109.25800000000001,down
2017-08-14,109.936,up
2017-08-15,110.5935,up
2017-08-16,110.0,down
2017-08-17,109.339,down
2017-08-18,109.2005,down
2017-08-19,109.2005,up
2017-08-20,109.333,up
2017-08-21,109.0,down
2017-08-22,109.73349999999999,up
2017-08-23,108.9005,down
